Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Solar Azimuth Units,Panel Tilt Units,Panel Azimuth Units,Spectral Data Units,Version
NSRDB,69977,-,-,-,16.56,75.05,0,532,5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,degrees,degrees,degrees,W/m^2/um,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Si (BPR),Si (Wacker),Si (Eurosil),"GaAs (Bauhuis et al., 2009)","InGap (Gray, 2008)","InGap (McGambridge, 2011)",CdTe,Solar Azimuth Angle,Panel Tilt,Panel Azimuth Angle,0.2800 um,0.2805 um,0.2810 um,0.2815 um,0.2820 um,0.2825 um,0.2830 um,0.2835 um,0.2840 um,0.2845 um,0.2850 um,0.2855 um,0.2860 um,0.2865 um,0.2870 um,0.2875 um,0.2880 um,0.2885 um
2020,1,1,18,0,18.9,0,0,0,1,17.1,0,0,0,0,89.26,-9999,0.14,952,2.4,287,1,0,0,0,0,0,0,0,244.04552325237094,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,19,0,18.2,0,0,0,1,16.8,0,0,0,0,91.55,-9999,0.14,952,2.4,295,0.9,0,0,0,0,0,0,0,186.6629540530785,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,20,0,17.7,0,0,0,3,16.5,0,0,0,0,92.61,-9999,0.14,951,2.4,304,0.8,0,0,0,0,0,0,0,118.02387282011648,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,21,0,17.4,0,0,0,0,16.2,0,0,0,0,92.58,-9999,0.14,950,2.4,314,0.7,0,0,0,0,0,0,0,107.93589674973634,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,22,0,17.2,0,0,0,0,15.9,0,0,0,0,92.32,-9999,0.14,951,2.4,327,0.7,0,0,0,0,0,0,0,106.17775752125112,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,1,23,0,16.8,0,0,0,0,15.7,0,0,0,0,93.49,-9999,0.14,951,2.5,345,0.6,0,0,0,0,0,0,0,106.87207487145122,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,0,0,16.6,0,0,0,0,15.6,0,0,0,0,93.95,-9999,0.14,953,2.5,2,0.6,0,0,0,0,0,0,0,108.86110216891313,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,1,0,16.6,0,0,0,0,15.7,0,0,0,0,94.51,-9999,0.14,954,2.5,24,0.6,0,0,0,0,0,0,0,111.91070850830255,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,2,2,0,18.8,40,236,65,3,16,37,177,3,56,83.62,83.88,0.14,955,2.4,56,1,1.0189500946719485,1.014704312329725,1.0172207753120956,1.0427101358763513,1.080045668057182,1.0701809112560206,1.049714296495515,116.14529037595037,17.764457763934814,90,2.0156816949236176e-19,2.5168617740641598e-18,1.0972046676886468e-17,2.958572298065817e-16,1.2239222620226237e-15,3.940155344568602e-15,1.2708611911043121e-14,1.5440627536018858e-14,3.0387541784291143e-13,7.492715256415556e-13,1.396121460369978e-12,4.854086659047519e-12,2.3212404484928225e-11,9.330405467695491e-11,2.9691332461224537e-10,9.418563316376858e-10,2.790049293414771e-09,9.159531803243764e-09
2020,1,2,3,0,22.7,92,574,275,3,16.2,106,417,3,239,66.84,71.38,0.14,955,2.4,102,1,1.0206234300570325,1.0177202200645545,1.0202581000959619,1.0508987387547533,1.0891725836631396,1.0864234396746513,1.0536090186144953,121.96666085006734,68.33360535846177,90,3.209470138628773e-19,3.976748265816954e-18,1.7500640317835103e-17,4.886908735678868e-16,2.0051775553904613e-15,6.500474628727885e-15,2.1036267105035587e-14,2.509829120360084e-14,5.104725596026437e-13,1.261471434595518e-12,2.3482329969683214e-12,8.093069460757645e-12,3.9537571911579705e-11,1.587674279589738e-10,5.111531822390798e-10,1.6259661560402674e-09,4.774427828716472e-09,1.5936397330595e-08
2020,1,2,4,0,26.3,110,752,489,1,16.4,110,752,0,489,54.62,59.75,0.14,955,2.4,167,0.9,1.0049114637802115,1.0029431847363808,1.0047131509522278,1.028459953882078,1.060624285967063,1.0595626456052158,1.0300663536260584,130.1164900105943,52.666949356952294,90,1.4747334033339957e-18,2.20187830163132e-17,8.718654763719081e-17,1.3865933067580668e-15,7.393036150665467e-15,2.2174325835852613e-14,7.164462495433287e-14,1.2076578736318836e-13,1.5107310023673747e-12,3.872844117510248e-12,8.021832302680574e-12,3.5360217299579987e-11,1.2197996825383953e-10,5.413349168858001e-10,1.49856970348696e-09,5.047096382772865e-09,1.956843904793779e-08,5.23488303651e-08
2020,1,2,5,0,28.4,117,845,663,3,15.7,174,694,3,623,46.04,49.71,0.14,954,2.4,202,1.4,1.004526115475245,1.0016361896263803,1.0061811561437328,1.0353935852812304,1.0967083182669057,1.0922528902683604,1.0418096214307873,141.75011019508543,36.140160097789924,90,2.826082332786826e-18,3.5324261047939445e-17,1.5612067049186043e-16,4.192268791856246e-15,1.7375774739070483e-14,5.6011153096685405e-14,1.8130563054508817e-13,2.1963098911164498e-13,4.3708595706384596e-12,1.0817385401357884e-11,2.0265137994654112e-11,7.075286022572338e-11,3.4057053087503516e-10,1.3994766209106062e-09,4.432462357663367e-09,1.4252741794615444e-08,4.3473338907955173e-08,1.44929856910472e-07
2020,1,2,6,0,29.7,176,784,755,1,15.1,176,784,0,755,41.1,42.44,0.14,953,2.4,214,1.8,0.9963642104286569,0.9947311348279247,0.9971096920685522,1.0163640194256496,1.0559595671151794,1.0541299530883377,1.0195430364352276,158.09909599558932,18.834611914699707,90,6.563066960428314e-18,9.825076588084882e-17,3.9363346058866237e-16,6.225677894246021e-15,3.3693748347019584e-14,1.0038807188551825e-13,3.2614734824497307e-13,5.515844603336591e-13,7.054499520674661e-12,1.836219157492034e-11,3.886245988989464e-11,1.7720990486423323e-10,6.285222428642615e-10,2.908158138295277e-09,8.27309112055897e-09,2.952326704568214e-08,1.2532444181266104e-07,3.547542429500899e-07
2020,1,2,7,0,30.5,174,809,799,0,14.7,174,809,0,799,38.31,39.51,0.14,952,2.4,222,1.9,0.9950329584160877,0.9933535288091276,0.9960223157196851,1.0152199830107576,1.0577945059454046,1.0555609078753854,1.0189841801694948,178.7351447159183,1.0428543332613032,90,8.831095626773689e-18,1.315912968105174e-16,5.285173381114203e-16,8.53475475276434e-15,4.614216633175434e-14,1.3990902069126645e-13,4.543838978978966e-13,7.72747229096287e-13,1.0200998109268936e-11,2.7059204933510826e-11,5.857062689759998e-11,2.7746909340625253e-10,9.864213876293938e-10,4.683224800763166e-09,1.3569081547574855e-08,4.947397150625095e-08,2.143513976302185e-07,6.114137996999956e-07
2020,1,2,8,0,30.9,168,805,768,0,14.4,168,805,0,768,36.74,41.84,0.14,951,2.4,230,2,0.9958537600542007,0.9941497560427308,0.9967447505899306,1.0163444265736055,1.0581350527822921,1.0560119839317814,1.0199236131389038,199.67592023666668,16.77687502755377,270,7.429641690685311e-18,1.1131243844697987e-16,4.4152879490908335e-16,7.066808166292485e-15,3.790704976206591e-14,1.1420155240940019e-13,3.676345772190515e-13,6.288345571747365e-13,7.99410297816562e-12,2.0864916490081452e-11,4.476803565859569e-11,2.0506759395691163e-10,7.211766573122538e-10,3.3505782218740457e-09,9.560351732148372e-09,3.423416701340248e-08,1.4581529095330123e-07,4.131339400834026e-07
2020,1,2,9,0,30.8,169,743,659,0,14.1,169,743,0,659,36.27,48.68,0.14,950,2.4,236,2.2,0.9992748354140766,0.9976835024389474,0.9995487485823197,1.0193266417015157,1.0534034592710302,1.0522775535413278,1.0214366958184018,216.615527207853,34.15601375602514,270,3.632258576967909e-18,5.423491020027198e-17,2.1473997772092867e-16,3.414717677320987e-15,1.821783891125843e-14,5.4641804459024275e-14,1.7473559852718723e-13,2.9763645110049e-13,3.688904988970495e-12,9.574313763899778e-12,1.9870119754879343e-11,8.786946902398956e-11,3.0376674718767957e-10,1.3566652666216735e-09,3.737388078134757e-09,1.2738023226296099e-08,5.058511009701947e-08,1.3785815494794127e-07
2020,1,2,10,0,30.1,148,663,494,0,13.9,148,663,0,494,37.1,58.47,0.14,950,2.5,239,2.4,1.0056730045044697,1.0041406914077626,1.0050372443383793,1.0265109927590235,1.0485673399780866,1.0488261370568015,1.0264865632467732,228.75209726951894,50.77849077629535,270,1.4081009126286215e-18,2.101815341268868e-17,8.321676240413681e-17,1.3225721274613822e-15,7.0533956814174006e-15,2.1150133352855998e-14,6.760548296541328e-14,1.151347034382046e-13,1.4241413920289447e-12,3.6910690950892135e-12,7.642904865543653e-12,3.366637128950392e-11,1.1611846642321338e-10,5.15395211618471e-10,1.4102043368550912e-09,4.747566648013164e-09,1.8397002989297233e-08,4.920013977815254e-08
2020,1,2,11,0,28.5,111,525,291,3,14.7,113,434,3,262,43.04,69.95,0.14,950,2.5,242,1.9,1.0199557766422638,1.0169412515384142,1.0197165858243316,1.0520029376992792,1.0938844596562765,1.0910939872773475,1.0549623394844172,237.24791658691163,66.54084363996354,270,3.813715853926762e-19,4.729589644460172e-18,2.079657006821995e-17,5.782840509954463e-16,2.377868563987304e-15,7.704836417449622e-15,2.4614219617316503e-14,2.9758085847052014e-14,5.958906803067217e-13,1.4937429143377763e-12,2.781408845239861e-12,9.583377007620075e-12,4.674173054218388e-11,1.8800422598187375e-10,5.960601671418277e-10,1.8960539576548993e-09,5.57402910730444e-09,1.8582021699577323e-08
